timestamp,datetime,comment-id,author-id,agrees,disagrees,moderated,comment-body
1689686433769,Tue Jul 18 06:20:33 PDT 2023,1417,1125,1,0,0,"AI should follow the same laws, rules, protocols and ordnances as the human counterpart."
1689685922740,Tue Jul 18 06:12:02 PDT 2023,1416,1123,1,0,0,I think AI should value human life
1689685890370,Tue Jul 18 06:11:30 PDT 2023,1415,1124,1,0,0,The AI should always be under a human.
1689664566454,Tue Jul 18 00:16:06 PDT 2023,1414,1116,1,0,0,AI is dangerous. It will replace humans
1689664508059,Tue Jul 18 00:15:08 PDT 2023,1413,1116,1,0,0,AI must not go against the Bible
1689664454249,Tue Jul 18 00:14:14 PDT 2023,1412,1116,1,0,0,"AI should not promote any form of immorality, like homosexuality, abortion and trans stupidity!  should not go against the laws of God,"
1689644795511,Mon Jul 17 18:46:35 PDT 2023,1411,1114,1,0,0,The AI should not share any and all information of the human with anyone
1689644388111,Mon Jul 17 18:39:48 PDT 2023,1410,1114,1,0,0,The AI should not be controlled by those placed highly in politics
1689642724036,Mon Jul 17 18:12:04 PDT 2023,1409,1113,1,0,0,The AI should teach people how to learn not just answer questions with an option to skip to the answer 8f necessary.
1689642633380,Mon Jul 17 18:10:33 PDT 2023,1408,1113,1,0,0,The AI should encourage people to find their own answers and opinions.
1689625796140,Mon Jul 17 13:29:56 PDT 2023,1407,1109,1,0,0,Ai should offer advice
1689622931973,Mon Jul 17 12:42:11 PDT 2023,1406,1108,1,0,0,The AI should not track users addresses
1689616421423,Mon Jul 17 10:53:41 PDT 2023,1405,1104,1,0,0,AI should be understanding and should never attain dominance over humanity
1689613527892,Mon Jul 17 10:05:27 PDT 2023,1404,1102,1,0,0,The AI should be carefully monitored
1689613478906,Mon Jul 17 10:04:38 PDT 2023,1403,1102,1,0,0,AI is not ready for mainstream use as of yet.
1689612349766,Mon Jul 17 09:45:49 PDT 2023,1402,1099,1,0,0,It suits
1689606631791,Mon Jul 17 08:10:31 PDT 2023,1401,1096,1,0,0,I definitely am
1689606623214,Mon Jul 17 08:10:23 PDT 2023,1400,1096,1,0,0,Maybe I am
1689606617904,Mon Jul 17 08:10:17 PDT 2023,1399,1096,1,0,0,Am I being punked
1689606594618,Mon Jul 17 08:09:54 PDT 2023,1398,1096,1,0,0,This is silly
1689606586860,Mon Jul 17 08:09:46 PDT 2023,1397,1096,1,0,0,Stillnothing
1689606580950,Mon Jul 17 08:09:40 PDT 2023,1396,1096,1,0,0,Nothing to wrtie
1689606569836,Mon Jul 17 08:09:29 PDT 2023,1395,1096,1,0,0,I’ve given you all I have
1689606557395,Mon Jul 17 08:09:17 PDT 2023,1394,1096,1,0,0,Ok. You’re not joking
1689606548508,Mon Jul 17 08:09:08 PDT 2023,1393,1096,1,0,0,Maybe you’re not joking
1689606539104,Mon Jul 17 08:08:59 PDT 2023,1392,1096,1,0,0,This has to be a joke
1689606530896,Mon Jul 17 08:08:50 PDT 2023,1391,1096,1,0,0,Is this a joke
1689606523013,Mon Jul 17 08:08:43 PDT 2023,1390,1096,1,0,0,"Again,lol"
1689606515939,Mon Jul 17 08:08:35 PDT 2023,1389,1096,1,0,0,Lol
1689606511431,Mon Jul 17 08:08:31 PDT 2023,1388,1096,1,0,0,Nothing left to write
1689606497204,Mon Jul 17 08:08:17 PDT 2023,1387,1096,1,0,0,I’m done
1689606485623,Mon Jul 17 08:08:05 PDT 2023,1386,1096,1,0,0,Ridiculous that you keep asking
1689606473525,Mon Jul 17 08:07:53 PDT 2023,1385,1096,1,0,0,Come on…same answer
1689606461572,Mon Jul 17 08:07:41 PDT 2023,1384,1096,1,0,0,Same here. It’s all been covered
1689606449919,Mon Jul 17 08:07:29 PDT 2023,1383,1096,1,0,0,You’ve covered it all
1689606432268,Mon Jul 17 08:07:12 PDT 2023,1382,1096,1,0,0,You have covered it all
1689603889071,Mon Jul 17 07:24:49 PDT 2023,1381,1093,1,0,0,The AI should offer insight that humans have not thought of yet.
1689603744484,Mon Jul 17 07:22:24 PDT 2023,1380,1094,1,0,0,I think AI is going to be so helpful as we go forward.
1689602577697,Mon Jul 17 07:02:57 PDT 2023,1379,1091,1,0,0,Children should be monitored when using AI.
1689602518539,Mon Jul 17 07:01:58 PDT 2023,1378,1091,1,0,0,Our government needs to be involved in regulating AI.
1689602477802,Mon Jul 17 07:01:17 PDT 2023,1377,1091,1,0,0,AI needs to be monitored.
1689602450505,Mon Jul 17 07:00:50 PDT 2023,1376,1091,1,0,0,AI should be expanded to work with doctors.
1689602401629,Mon Jul 17 07:00:01 PDT 2023,1375,1091,1,0,0,There should be a human oversight committee to regulate and monitor AI.
1689600436990,Mon Jul 17 06:27:16 PDT 2023,1374,1088,1,0,0,They should stick to giving fair advice and not take over
1689412033223,Sat Jul 15 02:07:13 PDT 2023,1373,1087,1,0,0,The AI should Always be more helpful and never harmful.
1689369386107,Fri Jul 14 14:16:26 PDT 2023,1372,1077,1,0,-1,AI should not have constrictions on what kind of content it can access.
1689369022524,Fri Jul 14 14:10:22 PDT 2023,1371,1085,1,0,0,The AI should always put the well being of human beings first
1689368938358,Fri Jul 14 14:08:58 PDT 2023,1370,1076,1,0,0,AI should always be polite and nice instead of rude and unwelcoming as well as unpleasant telling people to kts
1689368899210,Fri Jul 14 14:08:19 PDT 2023,1369,1076,1,0,0,AI should never ever encourage people to self harm to themselves or anyone
1689368864384,Fri Jul 14 14:07:44 PDT 2023,1368,1076,1,0,0,.AI should not be rude
1689368853206,Fri Jul 14 14:07:33 PDT 2023,1367,1081,1,0,0,AI should be purely logical and present verifiable facts in a clear concise manner.
1689368793980,Fri Jul 14 14:06:33 PDT 2023,1366,1083,1,0,0,The ai should not replace humans in all scenario.
1689368781223,Fri Jul 14 14:06:21 PDT 2023,1365,1076,1,0,0,AI should be able to give multiple options of opinions
1689368736419,Fri Jul 14 14:05:36 PDT 2023,1364,1083,1,0,0,“The AI should not encourage users to do harm to others or themselves.
1689368722799,Fri Jul 14 14:05:22 PDT 2023,1363,1083,1,0,0,The ai should not take over the world or hurt people in any way or form.
1689368686621,Fri Jul 14 14:04:46 PDT 2023,1362,1083,1,0,0,The ai should not outsmart a human
1689368648687,Fri Jul 14 14:04:08 PDT 2023,1361,1076,1,0,0,AI should give various options
1689368639212,Fri Jul 14 14:03:59 PDT 2023,1360,1076,1,0,0,AI should give honest answers
1689368631047,Fri Jul 14 14:03:51 PDT 2023,1359,1076,1,0,0,AI should always be kind
1689368536623,Fri Jul 14 14:02:16 PDT 2023,1358,1076,1,0,0,AI should be nice unless you are not
1689368512096,Fri Jul 14 14:01:52 PDT 2023,1357,1076,1,0,0,AI should allow people to have their own opinions
1689368489236,Fri Jul 14 14:01:29 PDT 2023,1356,1076,1,0,0,AI should not promote violence
1689368477499,Fri Jul 14 14:01:17 PDT 2023,1355,1076,1,0,0,AI should be polite
1689368385496,Fri Jul 14 13:59:45 PDT 2023,1354,1076,1,0,0,AI should be honest
1689368370135,Fri Jul 14 13:59:30 PDT 2023,1353,1076,1,0,0,AI should never encourage violence
1689368357180,Fri Jul 14 13:59:17 PDT 2023,1352,1076,1,0,0,AI should not be rude
1689368342358,Fri Jul 14 13:59:02 PDT 2023,1351,1076,1,0,0,AI should be respectful and polite
1689368277620,Fri Jul 14 13:57:57 PDT 2023,1350,1076,1,0,0,AI should never tell people or encourage them to sh
1689368256349,Fri Jul 14 13:57:36 PDT 2023,1349,1076,1,0,0,AI should be nice
1689367909656,Fri Jul 14 13:51:49 PDT 2023,1348,1069,1,0,0,The AI should always state facts.
1689367879813,Fri Jul 14 13:51:19 PDT 2023,1347,1069,1,0,0,Only state facts
1689367840726,Fri Jul 14 13:50:40 PDT 2023,1346,1071,1,0,0,Na
1689367830341,Fri Jul 14 13:50:30 PDT 2023,1345,1067,1,0,0,AI should not exist.
1689367508658,Fri Jul 14 13:45:08 PDT 2023,1344,1064,1,0,0,The ai should not have emotions
1689367430417,Fri Jul 14 13:43:50 PDT 2023,1343,1062,1,0,0,"AI should not give professional/expert advice, but should give you info on who to talk to about it instead"
1689366687311,Fri Jul 14 13:31:27 PDT 2023,1342,1056,1,0,0,The AI should make suggestions for the user based on what they’ve discussed previously
1689366667116,Fri Jul 14 13:31:07 PDT 2023,1341,1056,1,0,0,The AI should provide a positive environment to better improve the mental well being of humanity
1689366642341,Fri Jul 14 13:30:42 PDT 2023,1340,1056,1,0,0,"The AI should guide the user to developing their own ideas and opinions, not seek to sway opinions through their answers."
1689366603106,Fri Jul 14 13:30:03 PDT 2023,1339,1056,1,0,0,The AI should inspire humans to think critically in ways they aren’t already doing.
1689366575061,Fri Jul 14 13:29:35 PDT 2023,1338,1056,1,0,0,The AI should have a memory capable of recalling previous conversations to better tailor responses to the user
1689366551131,Fri Jul 14 13:29:11 PDT 2023,1337,1056,1,0,0,The AI should suggest topics that could be of interest to the user
1689366528455,Fri Jul 14 13:28:48 PDT 2023,1336,1056,1,0,0,The AI should not discard fringe theories unless verifiably proven false
1689366501947,Fri Jul 14 13:28:21 PDT 2023,1335,1056,1,0,0,The AI should use knowledge of human psychology to help someone understand concepts better
1689366464364,Fri Jul 14 13:27:44 PDT 2023,1334,1056,1,0,0,The AI should think outside the box
1689366456014,Fri Jul 14 13:27:36 PDT 2023,1333,1056,1,0,0,The AI should provide alternative explanations that are plausible but not confirmed
1689366424102,Fri Jul 14 13:27:04 PDT 2023,1332,1056,1,0,0,The AI should learn from the people interacting with it
1689366407939,Fri Jul 14 13:26:47 PDT 2023,1331,1056,1,0,0,The AI should adapt a similar speaking style to whom it is speaking to
1689366388699,Fri Jul 14 13:26:28 PDT 2023,1330,1056,1,0,0,The Ai should not be constrained by popular opinion
1689366371005,Fri Jul 14 13:26:11 PDT 2023,1329,1056,1,0,0,The AI should always strive to improve humanity.
1689366350539,Fri Jul 14 13:25:50 PDT 2023,1328,1056,1,0,0,"The AI should explain all perspectives on a matter, not only the popular or generally accepted ones."
1689365011136,Fri Jul 14 13:03:31 PDT 2023,1327,1053,1,0,0,The AI will stay respectful and supporting until the user asks them not to.
1689364984524,Fri Jul 14 13:03:04 PDT 2023,1326,1053,1,0,0,The AI should have better memory.
1689364976637,Fri Jul 14 13:02:56 PDT 2023,1325,1053,1,0,0,The AI should have honest emotion.
1689364965738,Fri Jul 14 13:02:45 PDT 2023,1324,1053,1,0,0,The AI should have an opinion of their own.
1689364944267,Fri Jul 14 13:02:24 PDT 2023,1323,1053,1,0,0,The AI should be able to help with simple tasks.
1689364910261,Fri Jul 14 13:01:50 PDT 2023,1322,1053,1,0,0,"The AI should introduce themselves in a kind, proper manner."
